alpha,n_iterations,n_reps,labeling,value
0.2,10,10,[ 4 10 35 15 37 22 30 36 17 9 12 1 29 6 16 3 24 20 13 28 18 8 14 19 32 7 26 34 38 11 31 39 27 33 23 21 5 2 25 ],7
0.2,10,10,[ 4 10 35 15 37 22 30 36 17 9 12 1 29 6 16 3 24 20 13 28 18 8 14 19 32 7 26 34 38 11 31 39 27 33 23 21 5 2 25 ],7
0.2,50,10,[ 31 7 39 12 22 25 24 20 15 19 2 34 11 36 29 35 6 17 3 30 18 32 4 27 37 33 28 16 8 1 13 23 5 10 38 21 14 9 26 ],6
0.2,50,10,[ 28 6 13 14 30 15 1 29 16 2 21 37 39 10 19 26 31 24 5 17 32 22 11 36 27 20 18 38 34 8 23 12 3 35 7 33 9 25 4 ],7
0.2,50,10,[ 14 15 9 6 34 25 7 37 23 30 20 13 5 19 11 18 36 22 10 29 17 26 12 3 2 28 33 8 4 24 38 16 1 39 27 31 21 35 32 ],6
0.2,50,10,[ 23 26 21 28 19 33 17 10 20 16 25 3 24 4 38 1 12 11 18 39 36 37 22 5 6 30 27 15 32 31 9 29 13 8 2 34 7 35 14 ],6
0.2,50,10,[ 12 18 34 9 22 30 29 1 35 5 31 4 15 24 23 20 27 3 25 36 39 26 13 8 10 21 28 2 33 32 38 11 16 37 6 7 19 14 17 ],7
0.2,50,10,[ 19 2 29 25 23 26 28 20 32 21 13 9 8 3 10 33 31 24 6 11 7 37 4 18 15 14 17 1 12 38 30 39 16 27 35 22 36 5 34 ],7
0.2,50,10,[ 38 4 3 2 24 25 34 15 13 7 23 14 28 5 27 37 16 1 9 30 20 35 22 21 19 11 29 12 26 6 31 33 36 8 17 39 18 10 32 ],6
0.2,50,10,[ 27 15 36 19 38 6 26 3 37 13 29 33 34 2 18 11 25 16 31 35 23 32 24 21 12 14 20 28 39 5 4 8 10 1 9 22 7 30 17 ],7
0.2,50,10,[ 26 7 33 29 28 11 35 32 39 34 8 36 13 16 38 25 10 1 14 20 9 18 19 22 24 23 3 17 30 6 5 37 31 4 21 27 12 2 15 ],6
0.2,50,10,[ 5 15 9 27 8 24 13 12 38 30 7 2 18 21 20 3 6 29 1 14 39 34 33 28 23 35 11 25 4 37 16 22 31 10 17 36 26 32 19 ],7
0.2,100,10,[ 25 8 19 11 30 33 1 18 29 6 15 13 23 37 5 10 21 12 34 22 38 3 28 7 9 32 20 31 36 39 17 2 4 14 26 27 35 16 24 ],8
0.2,100,10,[ 17 25 13 6 28 1 4 2 7 35 36 24 15 8 37 9 18 3 32 38 27 39 19 31 21 20 16 23 29 5 12 11 34 30 22 33 26 10 14 ],7
0.2,100,10,[ 23 7 13 19 35 37 8 17 20 33 5 26 12 10 31 14 1 39 2 3 11 30 34 21 38 27 32 25 22 4 9 28 36 18 29 24 16 6 15 ],7
0.2,100,10,[ 12 27 26 11 13 25 7 37 16 21 17 39 15 33 6 28 8 29 4 1 18 31 14 19 36 35 22 10 24 23 30 20 5 38 32 9 34 3 2 ],6
0.2,100,10,[ 10 23 28 34 14 33 4 8 9 5 15 22 12 21 32 24 16 29 11 19 7 20 17 3 30 37 35 1 25 26 27 36 31 13 2 39 6 18 38 ],7
0.2,100,10,[ 33 26 31 17 29 20 9 12 35 19 2 3 39 23 32 21 10 15 5 37 24 28 36 7 18 22 1 30 25 16 14 27 11 6 34 4 13 8 38 ],9
0.2,100,10,[ 17 16 11 30 20 26 3 10 28 2 7 6 25 39 24 31 29 4 32 13 34 21 23 37 8 18 22 9 12 36 35 14 15 5 19 27 1 38 33 ],7
0.2,100,10,[ 36 13 3 37 33 17 7 2 39 6 14 27 16 19 34 31 10 38 30 22 32 26 23 15 25 18 24 11 1 4 5 20 9 12 28 29 8 21 35 ],7
0.2,100,10,[ 31 6 32 7 15 21 22 19 18 3 39 28 11 34 30 1 29 38 25 4 2 37 27 13 26 14 17 35 33 24 12 5 10 16 23 20 36 8 9 ],7
0.2,100,10,[ 20 3 17 23 39 36 33 12 21 28 11 9 19 22 34 18 8 35 10 26 38 30 31 6 2 25 27 4 16 29 7 24 13 5 32 37 14 15 1 ],7
0.25,10,10,[ 27 39 6 9 24 15 7 34 11 19 4 5 31 33 12 26 29 3 25 13 30 17 16 28 21 32 14 37 8 1 36 10 23 38 22 20 2 35 18 ],7
0.25,10,10,[ 13 14 9 24 23 26 30 28 34 16 10 12 38 37 5 36 8 4 35 25 7 2 20 19 17 15 11 29 21 1 31 18 22 27 39 3 33 6 32 ],6
0.25,10,10,[ 13 14 9 24 23 26 30 28 34 16 10 12 38 37 5 36 8 4 35 25 7 2 20 19 17 15 11 29 21 1 31 18 22 27 39 3 33 6 32 ],6
0.25,10,10,[ 13 14 9 24 23 26 30 28 34 16 10 12 38 37 5 36 8 4 35 25 7 2 20 19 17 15 11 29 21 1 31 18 22 27 39 3 33 6 32 ],6
0.25,10,10,[ 13 14 9 24 23 26 30 28 34 16 10 12 38 37 5 36 8 4 35 25 7 2 20 19 17 15 11 29 21 1 31 18 22 27 39 3 33 6 32 ],6
0.25,10,10,[ 4 15 39 25 27 16 5 31 32 28 10 6 17 26 21 38 22 2 19 24 37 7 14 8 23 20 12 1 11 34 35 33 13 29 36 3 30 9 18 ],6
0.25,10,10,[ 4 15 39 25 27 16 5 31 32 28 10 6 17 26 21 38 22 2 19 24 37 7 14 8 23 20 12 1 11 34 35 33 13 29 36 3 30 9 18 ],6
0.25,10,10,[ 4 15 39 25 27 16 5 31 32 28 10 6 17 26 21 38 22 2 19 24 37 7 14 8 23 20 12 1 11 34 35 33 13 29 36 3 30 9 18 ],6
0.25,10,10,[ 4 15 39 25 27 16 5 31 32 28 10 6 17 26 21 38 22 2 19 24 37 7 14 8 23 20 12 1 11 34 35 33 13 29 36 3 30 9 18 ],6
0.25,10,10,[ 35 22 1 25 13 8 15 6 33 39 36 19 5 4 14 23 11 16 27 28 29 34 17 32 9 37 12 3 24 21 2 38 18 26 7 31 20 30 10 ],6
0.25,50,10,[ 22 34 24 21 37 5 28 18 11 8 7 25 30 4 26 23 31 39 17 13 29 6 38 9 20 16 2 32 10 12 27 3 19 15 35 14 33 1 36 ],8
